#seq,BW_1,BW_2,BW_3,BW_4,BW_5,BW_6,BW_7,DC_1,DC_2,DC_3,DC_4,DC_5,DC_6,DC_7,DC_8,DC_9,DC_10,QCS_1,QCS_2,QCS_3,QCS_4,QCS_5,QCS_6,QCS_7,QCS_8,TH_1,TH_2,TH_3,TH_4,TH_5,TH_6,TH_7,TH_8,TH_9,TH_10
ASV_243,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,227,530,0,0,0,0,0,0,0,0,0,0,0,0
ASV_244,0,0,0,0,0,0,0,1,39,14,10,12,15,13,17,41,29,0,0,0,0,0,0,0,0,146,59,285,169,284,275,171,217,29,51
ASV_245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,71,172,33,93,71,25,116,75,732,402
ASV_246,0,0,0,0,0,0,0,156,273,398,194,106,111,282,159,168,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_248,0,0,0,0,0,0,0,0,33,0,0,25,56,0,0,0,0,0,0,0,0,0,0,0,0,80,36,134,76,192,167,74,62,59,65
ASV_249,0,0,0,0,0,0,0,43,65,48,76,81,34,19,27,18,8,0,0,0,0,0,0,0,0,103,24,101,111,171,189,59,78,27,10
ASV_250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,29,385,62,62,107,152,68,47,272,419
ASV_251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,214,63,73,34,35,106,76,564,489
ASV_252,0,0,415,0,309,0,0,75,182,101,104,84,89,133,84,120,178,0,0,0,0,0,0,0,0,11,0,17,2,19,16,10,5,16,0
ASV_256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,273,62,92,63,38,69,63,546,438
ASV_257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,388,59,77,116,24,67,49,414,508
ASV_258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,467,31,70,69,11,66,37,459,451
ASV_259,0,0,0,0,0,0,0,104,409,140,97,150,133,230,227,226,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,248,65,96,76,23,82,57,555,398
ASV_261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,39,0,0,227,593,16,0,0,0,0,0,0,0,0,0,0,0
ASV_262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,263,80,83,45,0,63,50,558,387
ASV_263,0,0,0,0,0,0,0,82,422,104,198,230,151,163,104,263,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
